station_id,longitude,latitude
shunyi_meo,116.6152778,40.12666667
hadian_meo,116.2905556,39.98694444
yanqing_meo,115.9688889,40.44944444
miyun_meo,116.8641667,40.3775
huairou_meo,116.6269444,40.35777778
shangdianzi_meo,117.1116667,40.65888889
pinggu_meo,117.1177778,40.16944444
tongzhou_meo,116.7566667,39.8475
chaoyang_meo,116.5008333,39.9525
pingchang_meo,116.2116667,40.22333333
zhaitang_meo,115.6922222,39.97388889
mentougou_meo,116.1563889,39.88777778
beijing_meo,116.4694444,39.80611111
shijingshan_meo,116.2052778,39.9425
fengtai_meo,116.2452778,39.87027778
daxing_meo,116.3544444,39.71861111
fangshan_meo,116.1941667,39.77305556
xiayunling_meo,115.7405556,39.72861111
