id,station_id,time,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration
2941506,CD1,2018-03-31 07:00:00,9.9,14.3,70.4,,,
2941507,BL0,2018-03-31 07:00:00,8.5,8.8,44.8,,,
2941508,GR4,2018-03-31 07:00:00,4.8,8.9,16.5,,,
2941509,MY7,2018-03-31 07:00:00,9.3,10.4,,,,
2941510,HV1,2018-03-31 07:00:00,8.6,10.5,35.7,,,
2941511,GN3,2018-03-31 07:00:00,7.4,10.6,48.9,,,
2941512,GR9,2018-03-31 07:00:00,3.8,6.6,36.5,,,
2941513,LW2,2018-03-31 07:00:00,14.4,24.1,43.3,,,
2941514,GN0,2018-03-31 07:00:00,7.4,13.1,57.5,,,
2941515,KF1,2018-03-31 07:00:00,5.9,6.9,,,,
2941516,CD9,2018-03-31 07:00:00,13.1,12.9,41.8,,,
2941517,CT3,2018-03-31 07:00:00,,12.6,27.3,,,
2941518,CT2,2018-03-31 07:00:00,5.0,,,,,
2941519,BX9,2018-03-31 07:00:00,7.0,,,,,
2941520,BX1,2018-03-31 07:00:00,,10.1,22.0,,,
2941521,TH4,2018-03-31 07:00:00,10.0,19.7,58.9,,,
2941522,ST5,2018-03-31 07:00:00,3.0,4.0,17.3,,,
2941523,RB7,2018-03-31 07:00:00,,15.0,22.0,,,
2941524,TD5,2018-03-31 07:00:00,8.7,,,,,
2941562,CD1,2018-03-31 08:00:00,10.9,10.7,37.6,,,
2941563,BL0,2018-03-31 08:00:00,4.9,10.8,68.1,,,
2941564,GR4,2018-03-31 08:00:00,9.1,7.1,14.9,,,
2941565,MY7,2018-03-31 08:00:00,10.9,14.3,,,,
2941566,HV1,2018-03-31 08:00:00,5.6,7.0,24.2,,,
2941567,GN3,2018-03-31 08:00:00,13.0,17.8,59.4,,,
2941568,GR9,2018-03-31 08:00:00,7.8,9.7,29.5,,,
2941569,LW2,2018-03-31 08:00:00,18.6,29.7,57.5,,,
2941570,GN0,2018-03-31 08:00:00,12.6,18.0,67.2,,,
2941571,KF1,2018-03-31 08:00:00,5.3,6.6,,,,
2941572,CD9,2018-03-31 08:00:00,8.9,11.5,48.8,,,
2941573,CT3,2018-03-31 08:00:00,,16.2,28.1,,,
2941574,CT2,2018-03-31 08:00:00,10.0,,,,,
2941575,BX9,2018-03-31 08:00:00,10.6,,,,,
2941576,BX1,2018-03-31 08:00:00,,8.6,9.0,,,
2941577,TH4,2018-03-31 08:00:00,12.5,24.5,78.0,,,
2941578,ST5,2018-03-31 08:00:00,3.0,12.0,13.5,,,
2941579,RB7,2018-03-31 08:00:00,,11.2,21.6,,,
2941580,TD5,2018-03-31 08:00:00,6.8,,,,,
2941618,CD1,2018-03-31 09:00:00,9.0,9.7,77.6,,,
2941619,BL0,2018-03-31 09:00:00,2.4,5.6,54.1,,,
