id,station_id,time,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration
2941450,dongsi_aq,2018-03-31 07:00:00,105.0,172.0,53.0,0.8,127.0,14.0
2941451,tiantan_aq,2018-03-31 07:00:00,95.0,123.0,54.0,0.9,121.0,15.0
2941452,guanyuan_aq,2018-03-31 07:00:00,95.0,139.0,66.0,0.8,123.0,13.0
2941453,wanshouxigong_aq,2018-03-31 07:00:00,99.0,172.0,58.0,1.0,119.0,14.0
2941454,aotizhongxin_aq,2018-03-31 07:00:00,117.0,166.0,67.0,0.8,111.0,14.0
2941455,nongzhanguan_aq,2018-03-31 07:00:00,100.0,150.0,62.0,0.8,127.0,15.0
2941456,wanliu_aq,2018-03-31 07:00:00,95.0,139.0,82.0,1.0,104.0,13.0
2941457,beibuxinqu_aq,2018-03-31 07:00:00,104.0,236.0,75.0,0.9,98.0,9.0
2941458,zhiwuyuan_aq,2018-03-31 07:00:00,,,,,,
2941459,fengtaihuayuan_aq,2018-03-31 07:00:00,111.0,162.0,65.0,0.9,119.0,13.0
2941460,yungang_aq,2018-03-31 07:00:00,106.0,171.0,68.0,0.9,117.0,13.0
2941461,gucheng_aq,2018-03-31 07:00:00,133.0,193.0,79.0,0.9,110.0,10.0
2941462,fangshan_aq,2018-03-31 07:00:00,102.0,188.0,66.0,0.7,131.0,13.0
2941463,daxing_aq,2018-03-31 07:00:00,92.0,156.0,43.0,0.8,139.0,14.0
2941464,yizhuang_aq,2018-03-31 07:00:00,90.0,148.0,42.0,0.9,153.0,18.0
2941465,tongzhou_aq,2018-03-31 07:00:00,105.0,146.0,38.0,0.7,138.0,16.0
2941466,shunyi_aq,2018-03-31 07:00:00,104.0,143.0,52.0,1.0,142.0,16.0
2941467,pingchang_aq,2018-03-31 07:00:00,85.0,133.0,52.0,0.9,117.0,12.0
2941468,mentougou_aq,2018-03-31 07:00:00,96.0,169.0,75.0,0.8,120.0,11.0
2941469,pinggu_aq,2018-03-31 07:00:00,,,,,,
2941470,huairou_aq,2018-03-31 07:00:00,86.0,125.0,52.0,0.8,124.0,12.0
2941471,miyun_aq,2018-03-31 07:00:00,80.0,125.0,37.0,0.7,159.0,10.0
2941472,yanqin_aq,2018-03-31 07:00:00,54.0,259.0,15.0,0.4,121.0,5.0
2941473,dingling_aq,2018-03-31 07:00:00,82.0,142.0,45.0,0.9,130.0,10.0
2941474,badaling_aq,2018-03-31 07:00:00,,,,,,
2941475,miyunshuiku_aq,2018-03-31 07:00:00,92.0,133.0,27.0,0.7,169.0,9.0
2941476,donggaocun_aq,2018-03-31 07:00:00,136.0,150.0,49.0,1.5,143.0,33.0
2941477,yongledian_aq,2018-03-31 07:00:00,106.0,172.0,52.0,1.2,170.0,16.0
2941478,yufa_aq,2018-03-31 07:00:00,121.0,183.0,53.0,0.8,141.0,17.0
2941479,liulihe_aq,2018-03-31 07:00:00,105.0,163.0,45.0,0.8,137.0,6.0
2941480,qianmen_aq,2018-03-31 07:00:00,107.0,153.0,64.0,0.9,120.0,17.0
2941481,yongdingmennei_aq,2018-03-31 07:00:00,100.0,134.0,69.0,0.9,129.0,21.0
2941482,xizhimenbei_aq,2018-03-31 07:00:00,114.0,147.0,89.0,0.9,95.0,17.0
2941483,nansanhuan_aq,2018-03-31 07:00:00,94.0,137.0,94.0,1.0,94.0,16.0
2941484,dongsihuan_aq,2018-03-31 07:00:00,97.0,138.0,89.0,1.0,97.0,15.0
2941526,dongsi_aq,2018-03-31 08:00:00,99.0,171.0,41.0,0.8,148.0,13.0
2941527,tiantan_aq,2018-03-31 08:00:00,103.0,140.0,40.0,0.8,143.0,14.0
2941528,guanyuan_aq,2018-03-31 08:00:00,105.0,153.0,58.0,0.8,140.0,13.0
2941529,wanshouxigong_aq,2018-03-31 08:00:00,108.0,219.0,51.0,0.9,135.0,13.0
2941530,aotizhongxin_aq,2018-03-31 08:00:00,109.0,161.0,57.0,0.8,126.0,14.0
